name_menu,Unnamed: 1
ผัดผงกะหรี่กุ้ง,
ผัดผงกะหรี่ไก่,
ผัดผงกะหรี่หมูกรอบ,
ผัดผงกะหรี่ปลาดุก,
เนื้อปูผัดผงกะหรี่,
ผัดผงกะหรี่ปลาหมึก,
ผัดผงกะหรี่ทะเล,
ผัดกะเพราหมูสับ,
ผัดกะเพราหมูชิ้น,
ผัดกะเพราไก่,
ผัดกะเพราเนื้อ,
ผัดกะเพรากุ้ง,
ผัดกะเพราปลาหมึก,
ผัดกะเพราทะเล,
ผัดกะเพราปลา,
ผัดกะเพราหมูยอ,
ผัดกะเพราปลาดุก,
ผัดกะเพราหมูกรอบ,
ผัดกะเพราเครื่องใน,
ผัดกะเพราไข่เยี่ยวม้า,
ผัดกะเพราเต้าหู้หมูสับ,
ผัดกะเพราวุ้นเส้นหมูสับ,
ผัดกะเพราไข่เจียว,
ผัดกะเพราไข่ดาว,
ผัดพริกแกงไก่,
ผัดพริกแกงหมูชิ้น,
ผัดพริกแกงหมูกรอบ,
ผัดพริกแกงปลาดุก,
ผัดพริกแกงเครื่องใน,
ผัดพริกแกงกุ้ง,
ผัดพริกแกงทะเล,
ผัดพริกแกงผักบุ้งหมูกรอบ,
ผัดพริกแกงผักบุ้งปลาดุก,
หมูทอดกระเทียม,
ไก่ทอดกระเทียม,
กุ้งกระเทียมพริกไทย,
ปลาหมึกกระเทียมพริกไทย,
หมูกรอบกระเทียมพริกไทย,
หมูสับกระเทียมพริกไทย,
เนื้อกระเทียมพริกไทย ,
เต้าหู้ไข่หมูสับกระเทียมพริกไทย,
ตับหมูกระเทียมพริกไทย,
หมูผัดน้ำมันหอย,
ไก่ผัดน้ำมันหอย,
เนื้อผัดน้ำมันหอย,
กุ้งผัดน้ำมันหอย,
หมูกรอบผัดน้ำมันหอย,
ตับผัดน้ำมันหอย,
ทะเลผัดฉ่า,
ปลาหมึกผัดฉ่า,
ปลาดุกผัดฉ่า,
เครื่องในผัดฉ่า,
หอยลายผัดฉ่า,
หมูผัดฉ่า,
เนื้อผัดฉ่า,
ลูกชิ้นปลาผัดฉ่า,
หมูกรอบผัดพริกเผา,
ปลาหมึกผัดพริกเผา,
ไก่ผัดพริกเผา,
หมูชิ้นผัดพริกเผา,
กุ้งผัดพริกเผา,
ทะเลผัดพริกเผา,
หอยลายผัดพริกเผา,
ปลาทอดผัดพริกเผา,
หมูชิ้นผัดพริกหยวก,
ไก่ผัดพริกหยวก,
กุ้งผัดพริกหยวก,
เนื้อผัดพริกหยวก,
ปลาหมึกผัดพริกหยวก,
ปลาดุกผัดพริกหยวก,
ตับผัดพริกหยวก,
หมูสับผัดพริกสด,
หมูชิ้นผัดพริกสด,
ไก่ผัดพริกสด,
เนื้อผัดพริกสด,
กุ้งผัดพริกสด,
ปลาหมึกผัดพริกสด,
ทะเลผัดพริกสด,
ลูกชิ้นผัดพริกสด,
หมูสับไข่เยี่ยวม้าผัดพริกสด,
หมูผัดไข่,
ไก่สับผัดไข่,
เนื้อผัดไข่,
หมูสับผัดไข่,
กุ้งผัดไข่,
หมูกรอบผัดไข่,
เต้าหู้+หมูสับผัดไข่,
วุ้นเส้น+หมูสับผัดไข่,
หมูชิ้นผัดโหระพา,
ไก่ผัดโหระพา,
เนื้อผัดโหระพา,
หอยลายผัดโหระพา,
กุ้งผัดโหระพา,
ปลาหมึกผัดโหระพา,
ทะเลผัดโหระพา,
ลูกชิ้นปลาผัดโหระพา,
ผักบุ้งหมูกรอบ,
ผัดคะน้าหมูกรอบ,
ผัดผักกระเฉดหมูกรอบ,
ผัดผักบุ้งพริกแกงหมูกรอบ,
กะหล่ำปลีผัดกุ้ง,
ผัดแขนงหมูกรอบ,
บล็อคโคลีผัดกุ้ง,
เห็ดผัดกุ้ง,
หมูผัดแกงเขียวหวาน,
ไก่ผัดแกงเขียวหวาน,
เนื้อผัดแกงเขียวหวาน,
หมูกรอบผัดแกงเขียวหวาน,
กุ้งผัดแกงเขียวหวาน,
ปลาดุกผัดแกงเขียวหวาน,
ไข่เจียวเปล่า,
ไข่เจียวหมูสับ,
ไข่เจียวกุ้งสับ,
ไข่เจียวเต้าหู้ไข่,
ไข่เจียวปลากระป๋อง,
ไข่เจียวปู,
ไข่เจียวหอมแดงโหระพา,
ผัดเปรี้ยวหวานหมู,
ผัดเปรี้ยวหวานไก่,
ผัดเปรี้ยวหวานปลาทอด,
ผัดเปรี้ยวหวานทะเล,
ผัดเปรี้ยวหวานไก่กรอบ,
ผัดผักรวมหมู,
ผัดผักรวมหมูกรอบ,
ผัดผักรวมกุ้ง,
ผัดผักรวมมิตร,
ไข่ข้นกุ้ง,
ไข่ข้นแฮม,
ไข่ข้นไส้กรอก,
ไข่ข้นหมูกรอบ,
ไข่ข้นกะเพราหมูสับ,
ไข่ข้นกุนเชียง,
ข้าวไข่ข้นกุ้ง,
ข้าวไข่ข้นแฮม,
ข้าวไข่ข้นไส้กรอก,
ข้าวไข่ข้นหมูกรอบ,
ข้าวไข่ข้นกะเพราหมูสับ,
ข้าวไข่ข้นกุนเชียง,
หมูกรอบผัดพริกเกลือ,
เต้าหู้+หมูสับผัดพริกเกลือ,
กุ้งผัดพริกเกลือ,
ปลาหมึกผัดพริกเกลือ,
ทะเลผัดพริกเกลือ,
ไก่ผัดพริกเกลือ,
ผัดเม็ดมะม่วง,
ไข่ระเบิด,
ผัดวุ้นเส้น,
เต้าหู้ทรงเครื่อง,
แกงจืด,
ต้มจืด,
แกงจืดผักกาดขาว วุ้นเส้น เต้าหู้ หมูสับ,
แกงจืดไข่น้ำ,
แกงจืดเต้าหู้ หมูสับ สาหร่าย,
ต้มยำกุ้ง,
ต้มยำไก่,
ต้มยำปลาหมึก,
ต้มยำรวมมิตร,
ต้มยำปลากระป๋อง,
แกงส้ม,
แกงเลียง,
เส้นใหญ่ราดหน้าหมู,
เส้นใหญ่ราดหน้าไก่,
เส้นใหญ่ราดหน้าปลา,
เส้นหมี่ราดหน้าหมู,
เส้นหมี่ราดหน้าไก่,
หมี่กรอบราดหน้าปลา,
หมี่กรอบราดหน้าไก่,
หมี่ขาวกรอบราดหน้าหมู,
หมี่ขาวกรอบราดหน้าไก่,
หมี่ขาวกรอบราดหน้าปลา,
เส้นใหญ่ผัดซีอิ๊วหมู,
เส้นใหญ่ผัดซีอิ๊วไก่,
เส้นใหญ่ผัดซีอิ๊วปลา,
เส้นหมี่ผัดซีอิ๊วหมู,
เส้นหมี่ผัดซีอิ๊วไก่,
เส้นหมี่ผัดซีอิ๊วปลา,
ข้าวผัดกุ้ง,
ข้าวผัดหมู,
ข้าวผัดไก่,
ข้าวผัดปู,
ข้าวผัดไข่,
ข้าวผัดทะเล,
ข้าวผัดหมู ไม่เอามัน,
ข้าวผัดหมูไม่ผัก,
ข้าวผัดหมูพิเศษ ไข่เจียว,
ข้าวผัดหมูไม่ผักพิเศษ ไข่เจียว,
ข้าวผัดกุ้งไม่ผัก,
ข้าวผัดไก่ไม่ผัก,
ข้าวผัดปูไม่ผัก,
ข้าวผัดไข่ไม่ผัก,
ข้าวผัดทะเลไม่ผัก,
ข้าวผัดกุ้งพิเศษ ไข่เจียว,
ข้าวผัดไก่พิเศษ ไข่เจียว,
ข้าวผัดปูพิเศษ ไข่เจียว,
ข้าวผัดไข่พิเศษ ไข่เจียว,
ข้าวผัดทะเลพิเศษ ไข่เจียว,
ข้าวผัดกุ้งไม่ผักพิเศษ ไข่เจียว,
ข้าวผัดไก่ไม่ผักพิเศษ ไข่เจียว,
ข้าวผัดปูไม่ผักพิเศษ ไข่เจียว,
ข้าวผัดไข่ไม่ผักพิเศษ ไข่เจียว,
ข้าวผัดทะเลไม่ผักพิเศษ ไข่เจียว,
ผัดมักกะโรนี,
มาม่าผัดหมู,
มาม่าผัดไก่,
มาม่าผัดทะเล,
มาม่าผัดกุ้ง,
มาม่าผัดไข่,
มาม่าผัดเบคอน,
สุกี้น้ำหมู,
สุกี้น้ำไก่,
สุกี้แห้งหมู,
สุกี้แห้งไก่,
ก๋วยเตี๋ยวคั่วไก่,
เส้นหมี่ผัดผักกระเฉด,
ผัดกะเพราคลุกข้าว,
ข้าวต้ม,
ข้าวผัดต้มยำ,
ผัดไทย,
เส้นใหญ่ผัดขี้เมา,
สปาเกตตี้ผัดขี้เมา,
มักกะโรนีขี้เมา,
ผัดผักบุ้งหมูสับ,
ผัดผักรวม,
ผัดผงกะหรี่หมู,
หมูกระเทียม,
หมูสับคั่วพริกกระเทียม,
หมูทอดน้ำปลาคั่วพริกกระเทียม,
หมูทอดกระเทียมพริกไทย,
กุ้งกระเทียมไมโครเวฟ,
ข้าว,
ข้าวไรซ์เบอร์รี่,
ข้าวกล้อง,
ข้าวหอมมะลิ,
สปาเก็ตตี้คาโบนาร่า,
